s,x,y,z
20,431517.054524047,7748921.42411851,79.17
20.25,431517.226907477,7748921.24305512,79.18
20.5,431517.399290906,7748921.06199172,79.19
20.75,431517.571674335,7748920.88092833,79.19
21,431517.744057764,7748920.69986493,79.17
21.25,431517.916441193,7748920.51880154,79.11
21.5,431518.088824623,7748920.33773814,79.092
21.75,431518.261208052,7748920.15667474,79.074
22,431518.433591481,7748919.97561135,79.056
22.25,431518.60597491,7748919.79454795,79.038
22.5,431518.778358339,7748919.61348456,79.02
22.75,431518.950741768,7748919.43242116,79.01
23,431519.123125198,7748919.25135776,79.01
23.25,431519.295508627,7748919.07029437,79.01
23.5,431519.467892056,7748918.88923097,79.01
23.75,431519.640275485,7748918.70816758,79.0128571428571
24,431519.812658914,7748918.52710418,79.0157142857143
24.25,431519.985042344,7748918.34604078,79.0185714285714
24.5,431520.157425773,7748918.16497739,79.0214285714286
24.75,431520.329809202,7748917.98391399,79.0242857142857
25,431520.502192631,7748917.8028506,79.0271428571428
25.25,431520.67457606,7748917.6217872,79.03
25.5,431520.84695949,7748917.4407238,79.0283333333333
25.75,431521.019342919,7748917.25966041,79.0266666666667
26,431521.191726348,7748917.07859701,79.025
26.25,431521.364109777,7748916.89753362,79.0233333333333
26.5,431521.536493206,7748916.71647022,79.0216666666667
26.75,431521.708876635,7748916.53540683,79.02
27,431521.881260065,7748916.35434343,79.0208333333333
27.25,431522.053643494,7748916.17328003,79.0216666666667
27.5,431522.226026923,7748915.99221664,79.0225
27.75,431522.398410352,7748915.81115324,79.0233333333333
28,431522.570793781,7748915.63008985,79.0241666666667
28.25,431522.743177211,7748915.44902645,79.025
28.5,431522.91556064,7748915.26796305,79.0258333333333
28.75,431523.087944069,7748915.08689966,79.0266666666667
29,431523.260327498,7748914.90583626,79.0275
29.25,431523.432710927,7748914.72477287,79.0283333333333
29.5,431523.605094357,7748914.54370947,79.0291666666667
29.75,431523.777477786,7748914.36264607,79.03
